actor_type,sumo_id,velocity,travelled_distance,throttle,steer,brake,acceleration,acc_x,acc_y,loc_x,loc_y,heading,time_step
vehicle.tesla.model3,vehicle2,42.40168762207031,170.60710196750014,1.0,0.0,0.0,3.581835573153844,3.5818347930908203,-0.0023639192804694176,-277.47064208984375,37.38542938232422,-0.010986328125,0.023000000044703484
vehicle.audi.etron,vehicle3,30.134174346923828,134.54351199321678,1.0,0.0,0.0,2.074863674470885,-2.0748636722564697,-9.586042142473161e-05,-430.14593505859375,5.404443264007568,179.99905395507812,0.023000000044703484
vehicle.tesla.cybertruck,vehicle4,7.486774444580078,152.96039181836494,1.0,0.0,0.0,23.524472006573518,6.833418369293213,-22.510112762451172,-463.8011474609375,16.152164459228516,-124.01505279541016,0.023000000044703484
vehicle.dodge.charger_police,vehicle5,4.028946876525879,126.15566857393225,1.0,0.0,0.0,34.678235228268555,0.8049425482749939,-34.66889190673828,-470.2013244628906,16.34717559814453,-163.49948120117188,0.023000000044703484
vehicle.ford.mustang,vehicle6,0.0,3.135775885854128,0.0,0.0,0.0,0.0,0.0,0.0,-384.4994812011719,-8.499999046325684,90.00000762939453,0.023000000044703484
vehicle.audi.tt,vehicle7,0.0,3.124692475048101,0.0,0.0,0.0,0.0,0.0,0.0,-380.6995544433594,-7.39999532699585,90.00000762939453,0.023000000044703484
vehicle.mercedes.coupe_2020,vehicle0,19.409324645996094,89.61243324130028,1.0,0.0,0.0,4.727169360616696,-3.8176825046539307,-2.7877285480499268,-411.5022888183594,9.663006782531738,-179.856201171875,0.023000000044703484
vehicle.audi.a2,vehicle1,22.449262619018555,70.0464694715291,1.0,0.0,0.0,2.7753579890247373,2.775357961654663,0.0003897736605722457,-357.1817932128906,26.90262222290039,0.004237002227455378,0.023000000044703484
vehicle.tesla.model3,vehicle2,42.48405075073242,171.58423513666617,1.0,0.0,0.0,3.5460106165784864,3.5460097789764404,-0.0024372711777687073,-276.4944152832031,37.38524627685547,-0.01104736328125,0.023000000044703484
vehicle.audi.etron,vehicle3,30.18174171447754,135.23769205399898,1.0,0.0,0.0,2.068146469486657,-2.0681464672088623,-9.706506534712389e-05,-430.8397521972656,5.404455661773682,179.99903869628906,0.023000000044703484
vehicle.tesla.cybertruck,vehicle4,6.972080707550049,153.12074967495028,1.0,0.0,0.0,22.415985728440646,5.001747131347656,-21.850833892822266,-463.8489074707031,16.322193145751953,-120.7449951171875,0.023000000044703484
vehicle.dodge.charger_police,vehicle5,3.528128147125244,126.23681552147384,1.0,0.0,0.0,22.74217934467489,0.20737750828266144,-22.741233825683594,-470.23626708984375,16.464763641357422,-159.17942810058594,0.023000000044703484
vehicle.ford.mustang,vehicle6,0.0,3.135775885854128,0.0,0.0,0.0,0.0,0.0,0.0,-384.4994812011719,-8.499999046325684,90.00000762939453,0.023000000044703484
vehicle.audi.tt,vehicle7,0.0,3.124692475048101,0.0,0.0,0.0,0.0,0.0,0.0,-380.6995544433594,-7.39999532699585,90.00000762939453,0.023000000044703484
