actor_type,sumo_id,velocity,travelled_distance,throttle,steer,brake,acceleration,acc_x,acc_y,loc_x,loc_y,heading,time_step,time
vehicle.ford.mustang,vehicle6,3.606400966644287,0.6998671505642984,0.0,0.0,0.0,0.0,0.0,0.0,-384.5,-8.5,89.99998474121094,0.023000000044703484,2.5530000049620867
vehicle.audi.tt,vehicle7,3.606400966644287,0.6998671505642984,0.0,0.0,0.0,0.0,0.0,0.0,-380.6999816894531,-7.399999618530273,89.99998474121094,0.023000000044703484,2.57600000500679
vehicle.mercedes.coupe_2020,vehicle0,0.3731369972229004,0.5507415092861034,1.0,0.0,0.0,1.5921398010250885e-05,-8.059224398948572e-09,1.5921395970508456e-05,-426.5,30.399999618530273,0.0,0.023000000044703484,2.5990000050514936
vehicle.audi.a2,vehicle1,0.603458046913147,0.5765753807605131,0.6000000238418579,0.0,0.0,0.02090664021671492,0.020906640216708183,1.6786108503197283e-08,-426.3995666503906,26.899999618530273,9.564006475670794e-09,0.023000000044703484,2.622000005096197
vehicle.tesla.model3,vehicle2,0.3601768910884857,0.5471999723221945,1.0,0.0,0.0,4.3916315770847076e-05,4.963121227774536e-06,4.363496555015445e-05,-447.1999816894531,37.400001525878906,0.0,0.023000000044703484,2.6450000051409006
vehicle.audi.etron,vehicle3,3.831801176071167,0.7879985777852301,1.0,0.0,0.0,0.0,0.0,0.0,-298.20001220703125,5.400000095367432,-179.99996948242188,0.023000000044703484,2.668000005185604
vehicle.tesla.cybertruck,vehicle4,3.831801176071167,0.7879985777852301,1.0,0.0,0.0,0.0,0.0,0.0,-315.8999938964844,13.0,-179.99996948242188,0.023000000044703484,2.6910000052303076
vehicle.dodge.charger_police,vehicle5,3.831801176071167,0.7879985777852301,1.0,0.0,0.0,0.0,0.0,0.0,-347.6999816894531,16.100000381469727,-179.99996948242188,0.023000000044703484,2.714000005275011
vehicle.ford.mustang,vehicle6,3.831801176071167,0.7879985777852301,0.0,0.0,0.0,0.0,0.0,0.0,-384.5,-8.5,89.99998474121094,0.023000000044703484,2.7370000053197145
vehicle.audi.tt,vehicle7,3.831801176071167,0.7879985777852301,0.0,0.0,0.0,0.0,0.0,0.0,-380.6999816894531,-7.399999618530273,89.99998474121094,0.023000000044703484,2.760000005364418
vehicle.mercedes.coupe_2020,vehicle0,0.152457594871521,0.5542480339749638,1.0,0.0,0.0,3.5522247657931194e-05,-4.718939905501429e-09,3.552224734448828e-05,-426.5,30.399999618530273,0.0,0.023000000044703484,2.7830000054091215
vehicle.audi.a2,vehicle1,0.31819868087768555,0.5838939504349244,0.6000000238418579,0.0,0.0,0.01079155075662681,0.010791548527777195,6.9358115979412105e-06,-426.3995361328125,26.899999618530273,1.5282061838206573e-07,0.023000000044703484,2.806000005453825
vehicle.tesla.model3,vehicle2,0.1440638303756714,0.5505134404272751,1.0,0.0,0.0,2.2208151741232208e-05,8.69699647410016e-07,2.2191115931491368e-05,-447.1999816894531,37.400001525878906,0.0,0.023000000044703484,2.8290000054985285
